numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200610662T;Institut de recherche en sciences et techniques de la ville;IRSTV;2002;Structures Fédératives de Recherche;3;3;https://irstv.ec-nantes.fr/;1 rue de la Noë;44321;NANTES CEDEX 3;INARD,CALMET,MUSY,BECHET;Christian,Isabelle,Marjorie,Béatrice;DIR-ADJ,DIR-ADJ,DIR-ADJ,DIR;FR 2488,FR 2488,FR 2488;Université La Rochelle,Ecole Centrale de Nantes,Ecole Nationale Supérieure d'Architecture de Nantes,Le Mans Université,Centre national de la recherche scientifique,Institut mines télécom,Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,Université Gustave Eiffel,Nantes Université,Conservatoire National des Arts et Métiers Paris,Centre Scientifique et Technique du Bâtiment,BRGM,Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement;LA ROCHELLE,EC. CENTRALE NANTES,EC. ARCHI. NANTES,LE MANS,CNRS,MinesTélécom,IMT Atlantique,UNIV.G.EIFFEL,Nantes Université,CNAM PARIS,CSTB,BRGM,Institut Agro;UNIV,AUT_ETAB,AUT_ETAB,UNIV,EPST,AUT_ETAB,AUT_ETAB,UNIV,UNIV,AUT_ETAB,EPIC,EPIC,AUT_ETAB;Université,Autres établissements ESR,Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR,Autres établissements ESR,Université,Université,Autres établissements ESR,Organismes de type EPIC,Organismes de type EPIC,Autres établissements ESR;0171463Y,0440100V,0440104Z,0720916E,0753639Y,0912424R,0292355C,0772894C,0442953W,0753471R,0942226J,0755363X,0756246G;19170032700015,19440100600011,19440104800021,19720916600010,18008901303720,18009202500154,18009202500121,13002612300013,13002974700016,19753471200017,77568822900027,58205614900120,13002622200013;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,PART,PART,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant,établissement participant;200817993C;;;;;;6,8;Sciences humaines et humanités,Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200610662T&PUBLIC=OK
201822815A;Centre de Ressources et de Recherches Technologiques (C2RT);C2RT;2018;Unité propre;21;2;;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;SHORTE;Spencer;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202124295W,202124294V,202124293U,202124111W,202124023A,202024021C,201822895M,201822843F,201822820F,201822819E,201822818D,201822817C,201722531W,201722530V,201722528T,201722448F,201321612P,201321541M,200218085D,200218084C,200021634V,200018093W,000021543S,000021537K;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822815A&PUBLIC=OK
200310841A;Observatoire des sciences de l'univers de Grenoble;OSUG;1985;Structures Fédératives de Recherche;3;3;http://www.osug.fr/;UNIV GRENOBLE ALPES, Bâtiment OSUG - D, 122 rue de la Piscine;38400;ST MARTIN D HERES;JACOBI,COTTE,BONAL,VOISIN,MALBET;Hans Werner,Nathalie,Lydie,Didier,Fabien;Directeur adjoint,Directrice,Directrice adjointe,Directeur adjoint,Directeur adjoint;UAR 832,UAR 222,UMS 1484,UMS 832,UMS 832,UMS 832,UMS 832,UMS 832;Centre national de la recherche scientifique,Institut de recherche pour le developpement,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Grenoble Alpes,Institut polytechnique de Grenoble,Université Savoie Chambéry,Météo France,Université Gustave Eiffel;CNRS,IRD,INRAE,GRENOBLE ALPES,GRENOBLE INP,CHAMBERY,METEO,UNIV.G.EIFFEL;EPST,EPST,EPST,UNIV,AUT_ETAB,UNIV,PRIVE,UNIV;Organismes de type EPST,Organismes de type EPST,Organismes de type EPST,Université,Autres établissements ESR,Université,Société de droit privé française,Université;0753639Y,0133973Y,0383546Y,0381912X,0730858L,0772894C;18008901303720,18000602500159,18007003901803,13002608100013,19381912500017,19730858800015,18006003002117,13002612300013;TUTE,TUTE,TUTE,TUTE,PART,PART,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant,établissement participant;201722374A,201119454C,201119432D,200710869N,200511874P,199511994N,199511963E;;;;;;2,3,7,8,10;Physique,Sciences de la terre et de l'univers, espace,Sciences de la société,Sciences pour l'ingénieur,Sciences agronomiques et écologiques;PE9;Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310841A&PUBLIC=OK
200410855L;GALILEE-OCA;GALILEEOCA;2000;Structures Fédératives de Recherche;3;3;http://www.oca.eu;Bd de l'Observatoire - CS 34229;06304;NICE CEDEX 4;MAZEVET;Stéphane;Directeur;UMS 2202,UAR 2202,UMS 2202;Observatoire de la Côte d'Azur Nice,Centre national de la recherche scientifique,Université Côte d'Azur;OBSV. COTE D'AZUR,CNRS,UniCA;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0060099A,0753639Y,0062205P;19061563300012,18008901303720,13002566100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;201220434N,201220431K,200816914E;;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410855L&PUBLIC=OK
200310876N;Cellule de Coordination Documentaire nationale pour les Mathématiques;MathDoc;1995;Structures Fédératives de Recherche;3;3;http://www.mathdoc.fr/;150 rue de la Chimie;38402;ST MARTIN D HERES CEDEX;MIOT,LABBE,BEFFARA;Evelyne,Olivier,Vincent;Directrice,Directeur Adjoint;UAR 5638,UMS 5638;Centre national de la recherche scientifique,Université Grenoble Alpes;CNRS,GRENOBLE ALPES;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0383546Y;18008901303720,13002608100013;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310876N&PUBLIC=OK
200012121E;Génie Enzymatique et Cellulaire. Reconnaissance Moléculaire et Catalyse;GEC;2013;Unité mixte;22;2;http://www.umr7025-gec.fr/;UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE, CENTRE DE RECHERCHES - BAT F, CS 60319;60203;COMPIEGNE CEDEX;AVALLE-BIHAN,D'AMELIO;Bérangère,Nicola;Responsable Amiénois;UMR 7025,UMR 7025;Université de Technologie de Compiègne,Université Picardie Jules-Verne Amiens,Centre national de la recherche scientifique;UT COMPIEGNE,AMIENS,CNRS;UNIV,UNIV,EPST;Université,Université,Organismes de type EPST;0601223D,0801344B,0753639Y;19601223100169,19801344300017,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012121E&PUBLIC=OK
200012140A;THEORISER ET MODELISER POUR AMENAGER - UMR 6049;ThéMA;2000;Unité mixte;22;2;http://thema.univ-fcomte.fr/;32 Rue Megevand;25030;BESANCON CEDEX;TANNIER,THEVENIN,CARPENTIER-POSTEL;Cécile,Thomas,Samuel;Directrice adjointe,Responsable de site,directeur;UMR 6049,UMR 6049,UMR 6049;Centre national de la recherche scientifique,Université Marie et Louis Pasteur,Université Bourgogne Europe (EPE);CNRS,UMLP,UBE;EPST,UNIV,UNIV;Organismes de type EPST,Université,Université;0753639Y,0252044L,0212296G;18008901303720,93810656400017,93823061200013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;3,6,7,10;Sciences de la terre et de l'univers, espace,Sciences humaines et humanités,Sciences de la société,Sciences agronomiques et écologiques;"PE10;SH3;SH2";Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies,Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012140A&PUBLIC=OK
200012185Z;LABORATOIRE DE PLANETOLOGIE ET GEOSCIENCES;LPG;2000;Unité mixte;22;2;https://lpg-umr6112.fr;2 Rue de la Houssinière;44322;NANTES CEDEX 3;CHOBLET,ZANELLA,METZGER,LANGLAIS;GAEL,Alain,Edouard,Benoit;dir-adj Le Mans Univ,Directeur-adjoint,Directeur;UMR 6112,UMR 6112,UMR 6112,UMR 6112,UMR 6112;Université Angers,Le Mans Université,Centre national de la recherche scientifique,Nantes Université,Centre National d'Etude Spatiales;ANGERS,LE MANS,CNRS,Nantes Université,CNES;UNIV,UNIV,EPST,UNIV,EPIC;Université,Université,Organismes de type EPST,Université,Organismes de type EPIC;0490970N,0720916E,0753639Y,0442953W,0752743Z;19490970100303,19720916600010,18008901303720,13002974700016,77566591200082;TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;201420664E;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012185Z&PUBLIC=OK
200012210B;Morphodynamique Continentale et Côitère;M2C;1996;Unité mixte;22;2;http://www.unicaen.fr/recherche/m2c;24 Rue des tilleuls;14000;CAEN;DEZILEAU,TESSIER;Laurent,Bernadette;Directeur,Directrice adjointe;UMR 6143,UMR 6143,UMR 6143;Université de Caen Normandie,Université Rouen,Centre national de la recherche scientifique;CAEN,ROUEN,CNRS;UNIV,UNIV,EPST;Université,Université,Organismes de type EPST;0141408E,0761904G,0753639Y;19141408500016,19761904200017,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200810763U;;;;;3,8,10;Sciences de la terre et de l'univers, espace,Sciences pour l'ingénieur,Sciences agronomiques et écologiques;"LS9;PE10";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012210B&PUBLIC=OK
200711930S;PRAXILING;PRAXILING;2006;Unité mixte;22;2;http://praxiling.univ-montp3.fr;UNIVERSITE MONTPELLIER III Route de Mende;34199;MONTPELLIER cedex 05;HIRSCH;Fabrice;DIR;UMR 5267,UMR 5267;Centre national de la recherche scientifique,Université de Montpellier Paul Valery (EPE);CNRS,UMPV;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0342569H;18008901303720,93249089900014;TUTE,TUTE;établissement tutelle,établissement tutelle;;200119844V;;;;;6,7,9;Sciences humaines et humanités,Sciences de la société,Sciences et technologies de l'information et de la communication;SH4;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711930S&PUBLIC=OK
